theme_id,theme_name,code,name
426,양자암호/양자컴퓨팅,208710,포톤
426,양자암호/양자컴퓨팅,223310,사토시홀딩스
426,양자암호/양자컴퓨팅,232830,아이티센피엔에스
426,양자암호/양자컴퓨팅,317120,라닉스
426,양자암호/양자컴퓨팅,356680,엑스게이트
426,양자암호/양자컴퓨팅,456010,아이씨티케이
316,엔젤산업,002450,삼익악기
316,엔젤산업,003920,남양유업
316,엔젤산업,005360,모나미
316,엔젤산업,013990,아가방컴퍼니
316,엔젤산업,014100,메디앙스
316,엔젤산업,019680,대교
316,엔젤산업,036000,예림당
316,엔젤산업,039830,오로라
316,엔젤산업,040420,정상제이엘에스
316,엔젤산업,048910,대원미디어
316,엔젤산업,066910,손오공
316,엔젤산업,068290,삼성출판사
316,엔젤산업,092730,네오팜
316,엔젤산업,095720,웅진씽크빅
316,엔젤산업,159580,제로투세븐
316,엔젤산업,215480,토박스코리아
316,엔젤산업,267980,매일유업
316,엔젤산업,317530,에피소드컴퍼니
316,엔젤산업,403850,더핑크퐁컴퍼니
316,엔젤산업,407400,꿈비
316,엔젤산업,419530,SAMG엔터
316,엔젤산업,435570,에르코스
316,엔젤산업,462310,뉴키즈온
316,엔젤산업,487580,폴레드
316,엔젤산업,900270,헝셩그룹
316,엔젤산업,900300,오가닉티코스메틱
128,엔터테인먼트,012170,아센디오
128,엔터테인먼트,032540,TJ미디어
128,엔터테인먼트,032800,판타지오
128,엔터테인먼트,035720,카카오
128,엔터테인먼트,035760,CJ ENM
128,엔터테인먼트,035900,JYP Ent.
128,엔터테인먼트,036420,콘텐트리중앙
128,엔터테인먼트,041510,에스엠
128,엔터테인먼트,043610,KT지니뮤직
128,엔터테인먼트,044480,빌리언스
128,엔터테인먼트,046390,삼화네트웍스
128,엔터테인먼트,047820,초록뱀미디어
128,엔터테인먼트,048550,SM C&C
128,엔터테인먼트,051780,큐로홀딩스
128,엔터테인먼트,054780,키이스트
128,엔터테인먼트,068050,팬엔터테인먼트
128,엔터테인먼트,078860,아이오케이이엔엠
128,엔터테인먼트,122870,와이지엔터테인먼트
128,엔터테인먼트,131100,티엔엔터테인먼트
128,엔터테인먼트,160550,NEW
128,엔터테인먼트,173940,에프엔씨엔터
128,엔터테인먼트,182360,큐브엔터
128,엔터테인먼트,200350,아티스트스튜디오
128,엔터테인먼트,253450,스튜디오드래곤
128,엔터테인먼트,352820,하이브
128,엔터테인먼트,361570,알비더블유
128,엔터테인먼트,369370,블리츠웨이엔터테인먼트
128,엔터테인먼트,376300,디어유
128,엔터테인먼트,458350,에스팀
128,엔터테인먼트,473980,노머스
128,엔터테인먼트,950190,고스트스튜디오
76,여름,000080,하이트진로
76,여름,000890,보해양조
76,여름,001530,DI동일
76,여름,001550,조비
76,여름,002700,신일전자
76,여름,005180,빙그레
76,여름,005300,롯데칠성
76,여름,006890,태경케미컬
76,여름,021240,코웨이
76,여름,025860,남해화학
76,여름,027710,팜스토리
76,여름,027740,마니커
76,여름,035810,이지홀딩스
76,여름,037070,파세코
76,여름,042110,에스씨디
76,여름,043340,에쎈테크
76,여름,044340,위닉스
76,여름,051900,LG생활건강
76,여름,060310,3S
76,여름,067170,오텍
76,여름,071840,롯데하이마트
76,여름,088910,동우팜투테이블
76,여름,093370,후성
76,여름,136480,하림
76,여름,267790,배럴
76,여름,276730,한울앤제주
76,여름,280360,롯데웰푸드
76,여름,284740,쿠쿠홈시스
147,여행,032350,롯데관광개발
147,여행,035080,그래디언트
147,여행,038390,레드캡투어
147,여행,039130,하나투어
147,여행,039310,세중
147,여행,048550,SM C&C
147,여행,080160,모두투어
147,여행,094850,참좋은여행
147,여행,104620,노랑풍선
127,영상콘텐츠,018700,졸스
127,영상콘텐츠,034120,SBS
127,영상콘텐츠,035620,바른손이앤에이
