code,name,market,big_theme,primary_theme,secondary_theme_1,secondary_theme_2,secondary_theme_3,industry,legacy_theme_count,legacy_theme_all,event_theme_all,classification_source,confidence
262260,에이프로,KOSDAQ,2차전지·전기차,2차전지(장비),2차전지,,,전자장비와기기,2,2차전지 | 2차전지(장비),,legacy_theme,높음
320000,한울반도체,KOSDAQ,2차전지·전기차,2차전지(장비),OLED(유기 발광 다이오드),2차전지,MLCC(적층세라믹콘덴서),전자장비와기기,4,2차전지 | 2차전지(장비) | MLCC(적층세라믹콘덴서) | OLED(유기 발광 다이오드),,legacy_theme,높음
333620,엔시스,KOSDAQ,2차전지·전기차,2차전지(장비),2차전지,,,전자장비와기기,2,2차전지 | 2차전지(장비),,legacy_theme,높음
372170,윤성에프앤씨,KOSDAQ,2차전지·전기차,2차전지(장비),2차전지,,,전자장비와기기,2,2차전지 | 2차전지(장비),,legacy_theme,높음
378340,필에너지,KOSDAQ,2차전지·전기차,2차전지(장비),2차전지,,,전기제품,2,2차전지 | 2차전지(장비),,legacy_theme,높음
382480,지아이텍,KOSDAQ,2차전지·전기차,2차전지(장비),수소에너지(수소차/연료전지 등),2차전지,,전기제품,3,2차전지 | 2차전지(장비) | 수소에너지(수소차/연료전지 등),,legacy_theme,높음
455180,케이지에이,KOSDAQ,2차전지·전기차,2차전지(장비),2차전지,,,전자장비와기기,2,2차전지 | 2차전지(장비),,legacy_theme,높음
025900,동화기업,KOSDAQ,2차전지·전기차,2차전지(전고체),2차전지(소재/부품),2차전지,리모델링/인테리어,건축자재,4,2차전지 | 2차전지(소재/부품) | 2차전지(전고체) | 리모델링/인테리어,,legacy_theme,높음
083930,아바코,KOSDAQ,2차전지·전기차,2차전지(전고체),태양광에너지,2차전지(장비),OLED(유기 발광 다이오드),전기제품,5,2차전지 | 2차전지(장비) | 2차전지(전고체) | OLED(유기 발광 다이오드) | 태양광에너지,,legacy_theme,높음
131400,이브이첨단소재,KOSDAQ,2차전지·전기차,2차전지(전고체),PCB(FPCB 등),,,전자장비와기기,2,2차전지(전고체) | PCB(FPCB 등),,legacy_theme,높음
259630,엠플러스,KOSDAQ,2차전지·전기차,2차전지(전고체),전력저장장치(ESS),2차전지(장비),전기차,전기제품,6,2차전지 | 2차전지(장비) | 2차전지(전고체) | 밸류업(25년 기업가치 제고계획 발표) | 전기차 | 전력저장장치(ESS),밸류업(25년 기업가치 제고계획 발표),legacy_theme,높음
277880,티에스아이,KOSDAQ,2차전지·전기차,2차전지(전고체),2차전지(장비),2차전지,,전자장비와기기,3,2차전지 | 2차전지(장비) | 2차전지(전고체),,legacy_theme,높음
281740,레이크머티리얼즈,KOSDAQ,2차전지·전기차,2차전지(전고체),LED,태양광에너지,반도체 재료/부품,화학,4,2차전지(전고체) | LED | 반도체 재료/부품 | 태양광에너지,,legacy_theme,높음
294140,레몬,KOSDAQ,2차전지·전기차,2차전지(전고체),2차전지,전자파,마스크,화학,6,2차전지 | 2차전지(전고체) | 갤럭시 부품주 | 마스크 | 스마트폰 | 전자파,,legacy_theme,높음
299030,하나기술,KOSDAQ,2차전지·전기차,2차전지(전고체),2차전지(장비),2차전지,폐배터리,전자장비와기기,4,2차전지 | 2차전지(장비) | 2차전지(전고체) | 폐배터리,,legacy_theme,높음
317330,덕산테코피아,KOSDAQ,2차전지·전기차,2차전지(전고체),반도체 재료/부품,2차전지(소재/부품),OLED(유기 발광 다이오드),반도체와반도체장비,5,2차전지 | 2차전지(소재/부품) | 2차전지(전고체) | OLED(유기 발광 다이오드) | 반도체 재료/부품,,legacy_theme,높음
382840,원준,KOSDAQ,2차전지·전기차,2차전지(전고체),2차전지(장비),2차전지,MLCC(적층세라믹콘덴서),전기제품,4,2차전지 | 2차전지(장비) | 2차전지(전고체) | MLCC(적층세라믹콘덴서),,legacy_theme,높음
413390,엠오티,KOSDAQ,2차전지·전기차,2차전지(전고체),2차전지(장비),2차전지,,전기제품,3,2차전지 | 2차전지(장비) | 2차전지(전고체),,legacy_theme,높음
009520,포스코엠텍,KOSDAQ,2차전지·전기차,리튬,비철금속,,,철강,2,리튬 | 비철금속,,legacy_theme,높음
029480,광무,KOSDAQ,2차전지·전기차,리튬,2차전지(소재/부품),2차전지,NI(네트워크통합),IT서비스,5,2차전지 | 2차전지(소재/부품) | NI(네트워크통합) | SI(시스템통합) | 리튬,,legacy_theme,높음
051980,중앙첨단소재,KOSDAQ,2차전지·전기차,리튬,,,,통신장비,1,리튬,,legacy_theme,높음
073570,리튬포어스,KOSDAQ,2차전지·전기차,리튬,캐릭터상품,,,핸드셋,2,리튬 | 캐릭터상품,,legacy_theme,높음
095500,미래나노텍,KOSDAQ,2차전지·전기차,리튬,페라이트,,,디스플레이장비및부품,2,리튬 | 페라이트,,legacy_theme,높음
101670,하이드로리튬,KOSDAQ,2차전지·전기차,리튬,태풍 및 장마,DMZ 평화공원,,전기제품,4,DMZ 평화공원 | 리튬 | 재난/안전(지진/화재 등) | 태풍 및 장마,재난/안전(지진/화재 등),legacy_theme,높음
107600,새빗켐,KOSDAQ,2차전지·전기차,리튬,2차전지,폐배터리,,전기제품,3,2차전지 | 리튬 | 폐배터리,,legacy_theme,높음
114190,강원에너지,KOSDAQ,2차전지·전기차,리튬,2차전지(장비),원자력발전,2차전지(소재/부품),전자장비와기기,6,2차전지 | 2차전지(소재/부품) | 2차전지(장비) | 리튬 | 원자력발전 | 전기차,,legacy_theme,높음
270520,앱튼,KOSDAQ,2차전지·전기차,리튬,,,,에너지장비및서비스,1,리튬,,legacy_theme,높음
278280,천보,KOSDAQ,2차전지·전기차,리튬,2차전지(전고체),반도체 재료/부품,2차전지(소재/부품),전기제품,6,2차전지 | 2차전지(소재/부품) | 2차전지(전고체) | OLED(유기 발광 다이오드) | 리튬 | 반도체 재료/부품,,legacy_theme,높음
290670,대보마그네틱,KOSDAQ,2차전지·전기차,리튬,2차전지(장비),2차전지,,전자장비와기기,3,2차전지 | 2차전지(장비) | 리튬,,legacy_theme,높음
348370,엔켐,KOSDAQ,2차전지·전기차,리튬,전력저장장치(ESS),2차전지(소재/부품),전기차,전기제품,5,2차전지 | 2차전지(소재/부품) | 리튬 | 전기차 | 전력저장장치(ESS),,legacy_theme,높음
365340,성일하이텍,KOSDAQ,2차전지·전기차,리튬,2차전지,폐배터리,,전기제품,3,2차전지 | 리튬 | 폐배터리,,legacy_theme,높음
043590,웰킵스하이텍,KOSDAQ,2차전지·전기차,무선충전기술,반도체 재료/부품,OLED(유기 발광 다이오드),스마트폰,전기제품,4,OLED(유기 발광 다이오드) | 무선충전기술 | 반도체 재료/부품 | 스마트폰,,legacy_theme,높음
